stimulus,response,rt
fixation,99,1
29,1,1.17110429998138
fixation,99,1
37,1,1.07379019999644
fixation,99,1.4
19,1,0.00748910001129843
fixation,99,0.8
31,1,0.0112529999751132
fixation,99,1.4
32,1,0.0765587000059895
fixation,99,1.4
3,1,0.246171600010712
fixation,99,1.3
0,1,0.044735400006175
fixation,99,0.8
13,1,0.120533999986947
fixation,99,0.9
8,99,2
fixation,99,1
27,99,2
fixation,99,1.2
42,99,2
fixation,99,0.8
48,99,2
fixation,99,1.3
30,0,0.726614799990784
fixation,99,0.8
4,0,0.279944599984447
fixation,99,1.2
35,0,0.330632600001991
fixation,99,1.1
39,99,2
fixation,99,1.3
25,99,2
fixation,99,1.3
14,99,2
fixation,99,1.4
38,99,2
fixation,99,1.4
44,99,2
fixation,99,1
11,99,2
fixation,99,1.2
43,99,2
fixation,99,0.9
5,99,2
fixation,99,0.8
2,99,2
fixation,99,1.3
45,99,2
fixation,99,1.1
26,99,2
fixation,99,1.1
18,99,2
fixation,99,1.4
22,99,2
fixation,99,1.2
49,99,2
fixation,99,1.2
34,99,2
fixation,99,1.4
28,99,2
fixation,99,1.3
46,99,2
fixation,99,1.2
24,99,2
fixation,99,0.9
47,99,2
fixation,99,0.9
23,99,2
fixation,99,1.4
40,99,2
fixation,99,0.8
16,99,2
fixation,99,1.1
41,99,2
fixation,99,0.9
12,99,2
fixation,99,1.4
33,99,2
fixation,99,1.2
20,99,2
fixation,99,1.1
1,99,2
fixation,99,1.1
15,99,2
fixation,99,0.8
21,0,0.515299499995308
fixation,99,1.2
36,1,0.291168199997628
fixation,99,0.8
10,1,0.100485700007994
fixation,99,0.8
6,1,0.217880599986529
fixation,99,1.1
17,1,0.198815899988404
fixation,99,0.8
7,1,0.224704499996733
fixation,99,1.3
9,1,0.233444300014526
